RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em0046_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SMASH(21),NONE(1996289920),LEFT(4),0.0,80.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,Bodyblow_L,,||||,0,,0,||||,Chest|Chest|Spine2|Spine0|Tail0,Spine3|Spine3|Spine1|Hip|Tail1,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': -0.3, 'z': 0.3}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}",,,,,,,,,,,,
12,SMASH(21),NONE(1996289920),RIGHT(5),0.0,80.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,Bodyblow_R,,||||,0,,0,||||,Chest|Chest|Spine2|Spine0|Tail0,Spine3|Spine3|Spine1|Hip|Tail1,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': -0.3, 'z': 0.3}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}",,,,,,,,,,,,
6,SMASH(21),NONE(1996289920),LEFT(4),0.0,68.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,17.0,ELEC(-1420948736),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,Bodyblow_Charged_L,,||||,0,,0,||||,Chest|Chest|Spine2|Spine0|Tail0,Spine3|Spine3|Spine1|Hip|Tail1,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': -0.3, 'z': 0.3}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}",,,,,,,,,,,,
13,SMASH(21),NONE(1996289920),RIGHT(5),0.0,68.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,17.0,ELEC(-1420948736),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,Bodyblow_Charged_R,,||||,0,,0,||||,Chest|Chest|Spine2|Spine0|Tail0,Spine3|Spine3|Spine1|Hip|Tail1,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'end': {'x': 0.0, 'y': 1.0, 'z': -0.3}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': -0.3, 'z': 0.3}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.6}",,,,,,,,,,,,
1,SMASH(21),NONE(1996289920),CENTER(6),0.0,70.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['FRONT(0)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,SnakeRush_Head,,||||,1,,0,||||,Head|Jaw|Head|Neck5|Neck3,Head|Jaw|Neck6|Neck4|Neck2,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.1, 'z': 1.4}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': -0.7, 'z': 0.8}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'radius': 1.3}",,,,,,,,,,,,
55,SMASH(21),NONE(1996289920),CENTER(6),0.0,70.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['FRONT(0)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,SnakeRush_Body,,||||||||||||||||||,2,,0,||||||||||||||||||,Neck1|Chest|Spine2|Spine0|Tail0|L_ArmU0|L_Hand0|R_ArmU0|R_Hand0|L_LegU0|L_LegU0|L_LegL0|L_Foot0|R_LegU0|R_LegU0|R_LegL0|R_Foot0|Tail2|Tail3,Neck0|Spine3|Spine1|Hip|Tail1|L_ArmU1|L_ArmL0|R_ArmU1|R_ArmL0|L_LegU1|L_LegU1|L_Foot0|L_Foot1|R_LegU1|R_LegU1|R_Foot0|R_Foot1|Tail3|Tail4,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.7}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.7}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'end': {'x': 0.1, 'y': 0.0, 'z': -0.3}, 'radius': 0.6}|{'start': {'x': 0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.15, 'y': 0.0, 'z': -0.2}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'end': {'x': -0.1, 'y': 0.0, 'z': -0.3}, 'radius': 0.6}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.15, 'y': 0.0, 'z': -0.2}, 'radius': 0.55}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.3}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.5}, 'radius': 0.6}|{'start': {'x': -0.1, 'y': 0.0, 'z': -0.5}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.3}, 'radius': 0.6}|{'start': {'x': -0.1, 'y': 0.1, 'z': 0.05}, 'end': {'x': 0.0, 'y': 0.05, 'z': 0.1}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.05, 'y': 0.0, 'z': 0.1}, 'radius': 0.5}|{'start': {'x': 0.1, 'y': 0.0, 'z': 0.3}, 'end': {'x': 0.1, 'y': 0.0, 'z': 0.5}, 'radius': 0.6}|{'start': {'x': 0.1, 'y': 0.0, 'z': -0.5}, 'end': {'x': 0.1, 'y': 0.0, 'z': 0.3}, 'radius': 0.6}|{'start': {'x': 0.1, 'y': 0.1, 'z': 0.05}, 'end': {'x': 0.0, 'y': 0.05, 'z': 0.1}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.05, 'y': 0.0, 'z': 0.1}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': -0.05, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}",,,,,,,,,,,,
7,SMASH(21),NONE(1996289920),CENTER(6),0.0,60.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,15.0,ELEC(-1420948736),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['FRONT(0)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,SnakeRush_Charged_Head,,||||,1,,0,||||,Head|Jaw|Head|Neck5|Neck3,Head|Jaw|Neck6|Neck4|Neck2,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.1, 'z': 1.4}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': -0.7, 'z': 0.8}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'radius': 1.3}",,,,,,,,,,,,
56,SMASH(21),NONE(1996289920),CENTER(6),0.0,60.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,15.0,ELEC(-1420948736),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['FRONT(0)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,SnakeRush_Charged_Body,,||||||||||||||||||,2,,0,||||||||||||||||||,Neck1|Chest|Spine2|Spine0|Tail0|L_ArmU0|L_Hand0|R_ArmU0|R_Hand0|L_LegU0|L_LegU0|L_LegL0|L_Foot0|R_LegU0|R_LegU0|R_LegL0|R_Foot0|Tail2|Tail3,Neck0|Spine3|Spine1|Hip|Tail1|L_ArmU1|L_ArmL0|R_ArmU1|R_ArmL0|L_LegU1|L_LegU1|L_Foot0|L_Foot1|R_LegU1|R_LegU1|R_Foot0|R_Foot1|Tail3|Tail4,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.8}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.7}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.7}|{'start': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.0}, 'radius': 1.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'end': {'x': 0.1, 'y': 0.0, 'z': -0.3}, 'radius': 0.6}|{'start': {'x': 0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.15, 'y': 0.0, 'z': -0.2}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'end': {'x': -0.1, 'y': 0.0, 'z': -0.3}, 'radius': 0.6}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.15, 'y': 0.0, 'z': -0.2}, 'radius': 0.55}|{'start': {'x': -0.1, 'y': 0.0, 'z': 0.3}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.5}, 'radius': 0.6}|{'start': {'x': -0.1, 'y': 0.0, 'z': -0.5}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.3}, 'radius': 0.6}|{'start': {'x': -0.1, 'y': 0.1, 'z': 0.05}, 'end': {'x': 0.0, 'y': 0.05, 'z': 0.1}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.05, 'y': 0.0, 'z': 0.1}, 'radius': 0.5}|{'start': {'x': 0.1, 'y': 0.0, 'z': 0.3}, 'end': {'x': 0.1, 'y': 0.0, 'z': 0.5}, 'radius': 0.6}|{'start': {'x': 0.1, 'y': 0.0, 'z': -0.5}, 'end': {'x': 0.1, 'y': 0.0, 'z': 0.3}, 'radius': 0.6}|{'start': {'x': 0.1, 'y': 0.1, 'z': 0.05}, 'end': {'x': 0.0, 'y': 0.05, 'z': 0.1}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.05, 'y': 0.0, 'z': 0.1}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': -0.05, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}",,,,,,,,,,,,
2,SLIP(22),NONE(1996289920),CENTER(6),0.0,40.0,0.0,NORMAL(0),20.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,STAMINA_M(1392587392),0,['ROLLING_R(8)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,,SideBite_Bite_L,,||||,3,,0,||||,Head|Jaw|Head|Neck5|Neck3,Head|Jaw|Neck6|Neck4|Neck2,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.1, 'z': 1.6}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': -0.8, 'z': 0.9}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'radius': 0.9}",,,,,,,,,,,,
