RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,IsTarDirtyAttack,IsLastResortSuccessFinish,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate
Em0071_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),CENTER(6),0.0,30.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,FRENZY(861936),False,100.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,7a0e6f45-1cb9-430c-8da1-d3af8e53ab7e,5.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,噛みつき,Bite,噛みつき,|,0,,0,|,Tongue0|Head,Head|Neck0,Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
1,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),CENTER(6),0.0,45.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,FRENZY(861936),False,100.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,7a0e6f45-1cb9-430c-8da1-d3af8e53ab7e,5.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,旋回噛みつき,TurnBite,旋回噛みつき,|,0,,0,|,Tongue0|Head,Head|Neck0,Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
2,SMASH_UPPER(9),CAPTURE_NET(-956543104),CENTER(6),0.0,95.0,0.0,NORMAL(0),90.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,FRENZY(861936),False,100.0,True,0.0,95.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,fc64137c-0003-435d-a4de-f26fa4a0479a,20.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,20.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,両翼脚腹下叩きつけ,Under_WingArmAttack,両翼脚腹下叩きつけ,|||||,4,,0,|||||,R_HandW0|R_WingL0|R_WingU0|L_HandW0|L_WingL0|L_WingU0,R_MiddleW0|R_HandW0|R_WingU1|L_MiddleW0|L_HandW0|L_WingU1,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.06, 'y': -1.430511e-06, 'z': 0.26}, 'end': {'x': -0.9, 'y': -3.814697e-06, 'z': 0.28}, 'radius': 2.0}|{'start': {'x': 0.0, 'y': -2.384186e-06, 'z': 0.0}, 'end': {'x': 0.8, 'y': -4.768372e-07, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.35}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.12}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': -2.861023e-06, 'z': 0.17}, 'end': {'x': 0.98, 'y': -2.384186e-06, 'z': 0.26}, 'radius': 2.0}|{'start': {'x': -4.768372e-07, 'y': -1.907349e-06, 'z': -2.384186e-07}, 'end': {'x': -0.85, 'y': -4.768372e-07, 'z': -2.384186e-07}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.45}, 'end': {'x': -0.06, 'y': 0.0, 'z': -0.06}, 'radius': 0.8}",,,,,,,,,,,,,,,,,,
3,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,70.0,0.0,NORMAL(0),60.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,FRENZY(861936),False,100.0,True,0.0,60.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,5ff47f01-4ff1-4473-8fe3-15a4db68a201,10.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,10.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,【右】翼脚叩きつけ,Right_WingArmAttack,翼脚叩きつけ,||,8,,0,||,R_HandW0|R_WingL0|R_WingU0,R_HandW1|R_HandW0|R_WingU1,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.2, 'z': 0.25}, 'end': {'x': -1.15, 'y': 0.2, 'z': 0.2}, 'radius': 1.45}|{'start': {'x': 0.0, 'y': -2.384186e-06, 'z': 0.0}, 'end': {'x': 0.8, 'y': -4.768372e-07, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.35}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.12}, 'radius': 0.8}",,,,,,,,,,,,,,,,,,
4,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,70.0,0.0,NORMAL(0),60.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,FRENZY(861936),False,100.0,True,0.0,60.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,5ff47f01-4ff1-4473-8fe3-15a4db68a201,10.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,10.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,【左】翼脚叩きつけ　※不要？,Left_WingArmAttack,翼脚叩きつけ,||,5,,0,||,L_HandW0|L_WingL0|L_WingU0,L_HandW1|L_HandW0|L_WingU1,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.2, 'z': 0.25}, 'end': {'x': 1.15, 'y': 0.2, 'z': 0.2}, 'radius': 1.45}|{'start': {'x': -4.768372e-07, 'y': -1.907349e-06, 'z': -2.384186e-07}, 'end': {'x': -0.87, 'y': -4.768372e-07, 'z': -2.384186e-07}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.45}, 'end': {'x': -0.06, 'y': 0.0, 'z': -0.06}, 'radius': 0.8}",,,,,,,,,,,,,,,,,,
5,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,55.0,0.0,NORMAL(0),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,35.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,翼脚突進,WingArmRun,翼脚突進,||||||||||||||||||||||,1,,0,||||||||||||||||||||||,Spine1|Spine0|R_Hand1|R_ArmU1|R_Scapula|L_Hand1|L_ArmU1|L_Scapula|R_Foot0|R_LegL0|R_LegU0|L_Foot0|L_LegL0|L_LegU0|Tongue0|Head|R_HandW0|L_HandW0|R_WingL0|R_WingU0|L_WingL0|L_WingU0|Chest,Chest|Spine1|R_RingH2|R_Hand0|R_ArmU1|L_RingH2|L_Hand0|L_ArmU1|R_MiddleF1|R_LegL1|R_LegU1|L_MiddleF1|L_LegL1|L_LegU1|Head|Neck0|R_MiddleW0|L_MiddleW0|R_HandW0|R_WingU1|L_HandW0|L_WingU1|Tail0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -2.998213e-08, 'y': 0.0, 'z': -0.15}, 'end': {'x': 1.286505e-07, 'y': 0.0, 'z': 0.65}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': -1.0}, 'end': {'x': -4.927378e-08, 'y': 0.0, 'z': -1.0}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.4}, 'end': {'x': 0.5, 'y': 0.0, 'z': 0.2}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': -0.3}, 'radius': 0.7}|{'start': {'x': -0.25, 'y': 0.25, 'z': 0.0}, 'end': {'x': 0.0, 'y': -1.192093e-07, 'z': -5.364418e-07}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.4}, 'end': {'x': -0.5, 'y': 0.0, 'z': 0.2}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': -0.3}, 'radius': 0.7}|{'start': {'x': 0.5, 'y': 0.15, 'z': 0.0}, 'end': {'x': 0.0, 'y': 1.192093e-07, 'z': -2.235174e-06}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.1, 'y': 0.0, 'z': -0.1}, 'end': {'x': 0.15, 'y': 0.35, 'z': 0.2}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': -0.15, 'y': 4.768372e-07, 'z': -0.1}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.2}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.3, 'z': -0.16}, 'end': {'x': 3.054776e-06, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -2.199901e-07, 'y': 0.0, 'z': -1.25}, 'end': {'x': -2.64863e-07, 'y': 0.0, 'z': 0.9}, 'radius': 1.0}|{'start': {'x': 0.06, 'y': -1.430511e-06, 'z': 0.25}, 'end': {'x': -0.9, 'y': -3.814697e-06, 'z': 0.28}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': -2.861023e-06, 'z': 0.17}, 'end': {'x': 0.98, 'y': -2.384186e-06, 'z': 0.26}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': -2.384186e-06, 'z': 0.0}, 'end': {'x': 0.8, 'y': -4.768372e-07, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.35}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.1}, 'radius': 0.8}|{'start': {'x': -4.768372e-07, 'y': -1.907349e-06, 'z': -2.384186e-07}, 'end': {'x': -0.86, 'y': -4.768372e-07, 'z': -2.384186e-07}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.45}, 'end': {'x': -0.05, 'y': 0.0, 'z': -0.06}, 'radius': 0.8}|{'start': {'x': -2.998213e-08, 'y': -1.5, 'z': -0.16}, 'end': {'x': 1.286505e-07, 'y': -1.5, 'z': 0.65}, 'radius': 1.8}",,,,,,,,,,,,,,,,,,
6,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),CENTER(6),0.0,70.0,0.0,ALL_RANGE(1),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,滑空体当たり,GlidAttack,滑空体当たり,||||||||||||||||||||||,2,,0,||||||||||||||||||||||,Chest|Spine1|Spine0|R_Hand1|R_ArmU1|R_Scapula|L_Hand1|L_ArmU1|L_Scapula|R_Foot0|R_LegL0|R_LegU0|L_Foot0|L_LegL0|L_LegU0|Tongue0|Head|R_HandW0|L_HandW0|R_WingL0|R_WingU0|L_WingL0|L_WingU0,Tail0|Chest|Spine1|R_RingH2|R_Hand0|R_ArmU1|L_RingH2|L_Hand0|L_ArmU1|R_MiddleF1|R_LegL1|R_LegU1|L_MiddleF1|L_LegL1|L_LegU1|Head|Neck0|R_MiddleW0|L_MiddleW0|R_HandW0|R_WingU1|L_HandW0|L_WingU1,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -2.998213e-08, 'y': -1.5, 'z': -0.16}, 'end': {'x': 1.286505e-07, 'y': -1.5, 'z': 0.65}, 'radius': 0.0}|{'start': {'x': -2.998213e-08, 'y': 0.0, 'z': -0.16}, 'end': {'x': 1.286505e-07, 'y': 0.0, 'z': 0.65}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': -0.18, 'z': -0.9}, 'end': {'x': -4.927378e-08, 'y': -0.15, 'z': -1.15}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.17, 'z': -0.4}, 'end': {'x': 0.6, 'y': -0.1, 'z': 0.2}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': -0.1849687, 'z': 0.05}, 'end': {'x': 0.0, 'y': 0.3, 'z': -0.3}, 'radius': 0.7}|{'start': {'x': -0.25, 'y': 0.24, 'z': 0.0}, 'end': {'x': 0.0, 'y': -1.192093e-07, 'z': -5.364418e-07}, 'radius': 0.7}|{'start': {'x': 0.1, 'y': 0.2, 'z': -0.37}, 'end': {'x': -0.47, 'y': 0.0, 'z': 0.1}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': -0.1849687, 'z': 0.05}, 'end': {'x': 0.0, 'y': 0.315, 'z': -0.3}, 'radius': 0.7}|{'start': {'x': 0.5, 'y': 0.15, 'z': 0.05}, 'end': {'x': 0.0, 'y': 1.192093e-07, 'z': -2.235174e-06}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.1, 'y': 0.0, 'z': -0.1}, 'end': {'x': 0.13, 'y': 0.35, 'z': 0.2}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': -0.15, 'y': 4.768372e-07, 'z': 0.0}, 'end': {'x': -0.05, 'y': 0.0, 'z': 0.0}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.3, 'z': -0.15}, 'end': {'x': 3.054776e-06, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -2.199901e-07, 'y': 0.0, 'z': -1.25}, 'end': {'x': -2.64863e-07, 'y': 0.0, 'z': 0.9}, 'radius': 1.0}|{'start': {'x': 0.05, 'y': -1.430511e-06, 'z': 0.25}, 'end': {'x': -0.9, 'y': -3.814697e-06, 'z': 0.3}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': -2.861023e-06, 'z': 0.15}, 'end': {'x': 1.0, 'y': -2.384186e-06, 'z': 0.25}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': -2.384186e-06, 'z': 0.0}, 'end': {'x': 0.8, 'y': -4.768372e-07, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.35}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.12}, 'radius': 0.8}|{'start': {'x': -4.768372e-07, 'y': -1.907349e-06, 'z': -2.384186e-07}, 'end': {'x': -0.85, 'y': -4.768372e-07, 'z': -2.384186e-07}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.45}, 'end': {'x': -0.05, 'y': 0.0, 'z': -0.05}, 'radius': 0.8}",,,,,,,,,,,,,,,,,,
7,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,35.0,0.0,ALL_RANGE(1),25.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,尻尾アタック,TailAttack,尻尾ぺちん,|,11,,0,|,Tail0|Tail2,Tail2|Tail5_CH_end,Capsule|Capsule,"{'start': {'x': 3.0287e-07, 'y': 0.0, 'z': 0.85}, 'end': {'x': -1.039586e-06, 'y': 0.0, 'z': 0.58}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -7.349819e-08, 'y': 0.0, 'z': 0.4}, 'radius': 0.6}",,,,,,,,,,,,,,,,,,
8,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,60.0,0.0,NORMAL(0),35.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,FRENZY(861936),False,100.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,7a0e6f45-1cb9-430c-8da1-d3af8e53ab7e,5.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,大噛みつき,StrongBite,大噛みつき,||||||||||||||||||||||,1,,0,||||||||||||||||||||||,Spine1|Spine0|R_Hand1|R_ArmU1|R_Scapula|L_Hand1|L_ArmU1|L_Scapula|R_Foot0|R_LegL0|R_LegU0|L_Foot0|L_LegL0|L_LegU0|Tongue0|Head|R_HandW0|L_HandW0|R_WingL0|R_WingU0|L_WingL0|L_WingU0|Chest,Chest|Spine1|R_RingH2|R_Hand0|R_ArmU1|L_RingH2|L_Hand0|L_ArmU1|R_MiddleF1|R_LegL1|R_LegU1|L_MiddleF1|L_LegL1|L_LegU1|Head|Neck0|R_MiddleW0|L_MiddleW0|R_HandW0|R_WingU1|L_HandW0|L_WingU1|Tail0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -2.998213e-08, 'y': 0.0, 'z': -0.15}, 'end': {'x': 1.286505e-07, 'y': 0.0, 'z': 0.65}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': -1.0}, 'end': {'x': -4.927378e-08, 'y': 0.0, 'z': -1.0}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.4}, 'end': {'x': 0.5, 'y': 0.0, 'z': 0.2}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': -0.3}, 'radius': 0.7}|{'start': {'x': -0.25, 'y': 0.25, 'z': 0.0}, 'end': {'x': 0.0, 'y': -1.192093e-07, 'z': -5.364418e-07}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': -0.4}, 'end': {'x': -0.5, 'y': 0.0, 'z': 0.2}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.3, 'z': -0.3}, 'radius': 0.7}|{'start': {'x': 0.5, 'y': 0.15, 'z': 0.0}, 'end': {'x': 0.0, 'y': 1.192093e-07, 'z': -2.235174e-06}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.1, 'y': 0.0, 'z': -0.1}, 'end': {'x': 0.15, 'y': 0.35, 'z': 0.2}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': -0.15, 'y': 4.768372e-07, 'z': -0.1}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.2}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.3, 'z': -0.16}, 'end': {'x': 3.054776e-06, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -2.199901e-07, 'y': 0.0, 'z': -1.25}, 'end': {'x': -2.64863e-07, 'y': 0.0, 'z': 0.9}, 'radius': 1.0}|{'start': {'x': 0.06, 'y': -1.430511e-06, 'z': 0.25}, 'end': {'x': -0.9, 'y': -3.814697e-06, 'z': 0.28}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': -2.861023e-06, 'z': 0.17}, 'end': {'x': 0.98, 'y': -2.384186e-06, 'z': 0.26}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': -2.384186e-06, 'z': 0.0}, 'end': {'x': 0.8, 'y': -4.768372e-07, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.35}, 'end': {'x': -0.1, 'y': 0.0, 'z': 0.1}, 'radius': 0.8}|{'start': {'x': -4.768372e-07, 'y': -1.907349e-06, 'z': -2.384186e-07}, 'end': {'x': -0.86, 'y': -4.768372e-07, 'z': -2.384186e-07}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.45}, 'end': {'x': -0.05, 'y': 0.0, 'z': -0.06}, 'radius': 0.8}|{'start': {'x': -2.998213e-08, 'y': -1.5, 'z': -0.16}, 'end': {'x': 1.286505e-07, 'y': -1.5, 'z': 0.65}, 'radius': 1.8}",,,,,,,,,,,,,,,,,,
