RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em0156_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,35.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,滑空ブレード左翼,,滑空ブレード,||||||||||||||||||||||,1,,0,||||||||||||||||||||||,L_WingU0|L_WingU0|L_WingU1|L_HandW0|L_IndexW2|L_IndexW1|L_IndexW2|L_MiddleW1|L_MiddleW2|L_RingW1|L_RingW2|L_PinkyW3|L_MiddleW2|L_PinkyW1|L_PinkyW1|L_AddW3_0|L_AddW3_0|L_AddW3_0|L_PinkyW0|L_WingU1|L_MiddleW2|L_WingU1|L_HandW0,L_WingU1|L_WingU1|L_HandW0|L_IndexW0|L_MiddleW2|L_IndexW2|L_IndexW3|L_MiddleW2|L_MiddleW3|L_RingW2|L_RingW3|L_AddW3_1|L_RingW3|L_RingW3|L_AddW3_1|L_AddW3_1|Tail1|L_PinkyW3|L_PinkyW3|Tail1|L_PinkyW1|Tail1|L_ThumbW0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.15, 'y': 0.4, 'z': -2.8}, 'radius': 0.35}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 2.861023e-06, 'y': 2.384186e-07, 'z': 1.162291e-06}, 'end': {'x': 0.0, 'y': -8.940697e-07, 'z': 1.192093e-07}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': -0.35, 'y': 0.2, 'z': 1.2}, 'end': {'x': 0.2000017, 'y': 0.05000114, 'z': -0.1000003}, 'radius': 0.5}|{'start': {'x': 0.3500017, 'y': 0.0, 'z': 0.4000006}, 'end': {'x': 0.5, 'y': 0.2, 'z': 0.2}, 'radius': 0.9}|{'start': {'x': 0.0, 'y': 0.1000049, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.09999943, 'z': -1.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': -1.907349e-06, 'y': -9.536743e-07, 'z': 2.384186e-07}, 'end': {'x': 9.536743e-07, 'y': -1.907349e-06, 'z': 1.3}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.1, 'z': 1.1}, 'end': {'x': 0.0, 'y': 5.245209e-06, 'z': -0.4}, 'radius': 0.3}|{'start': {'x': -0.15, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.1, 'y': -0.05, 'z': 1.45}, 'radius': 0.3}|{'start': {'x': 0.1, 'y': 0.01, 'z': -1.2}, 'end': {'x': -0.1, 'y': -0.05, 'z': 1.45}, 'radius': 0.3}|{'start': {'x': -0.1, 'y': 0.15, 'z': -1.6}, 'end': {'x': -0.05, 'y': -0.2, 'z': -0.3}, 'radius': 0.3}|{'start': {'x': 4.768372e-07, 'y': 0.0, 'z': -3.576279e-07}, 'end': {'x': 0.0, 'y': -7.450581e-08, 'z': -0.4}, 'radius': 0.3}|{'start': {'x': 2.384186e-07, 'y': 0.0008265376, 'z': -1.0}, 'end': {'x': 0.6, 'y': 0.2, 'z': -0.3}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': -1.1}, 'end': {'x': -0.4, 'y': 0.0, 'z': 0.8}, 'radius': 0.3}|{'start': {'x': 0.0308094, 'y': 0.2, 'z': 0.0}, 'end': {'x': 1.430511e-06, 'y': -2.622604e-06, 'z': 1.000002}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.5, 'z': -2.800001}, 'end': {'x': 0.3, 'y': 0.4, 'z': -1.25}, 'radius': 0.3}|{'start': {'x': 4.768372e-07, 'y': -1.430511e-06, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.1, 'z': -1.3}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.05, 'y': 0.0, 'z': -0.1}, 'radius': 0.3}",,,,,,,,,,,,
1,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,12.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,48.0,ELEC(-1420948736),False,0.0,True,0.0,55.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,スタンガン,,スタンガン,|||,4,,0,|||,Head|Head|Head|Head,Head|Head|Head|Head,Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.6500001, 'y': 0.2500001, 'z': 0.7000026}, 'end': {'x': 1.189904, 'y': 0.3083313, 'z': 0.7146938}, 'radius': 0.4}|{'start': {'x': 0.7509663, 'y': -0.3419394, 'z': 0.2081831}, 'end': {'x': 0.0179354, 'y': -1.063452, 'z': 0.2211311}, 'radius': 0.5}|{'start': {'x': -0.6500001, 'y': 0.25, 'z': 0.7000052}, 'end': {'x': -1.07009, 'y': 0.2327838, 'z': 0.6797423}, 'radius': 0.4}|{'start': {'x': -0.7833988, 'y': -0.3751748, 'z': 0.2054786}, 'end': {'x': 0.07175821, 'y': -0.9961809, 'z': 0.2596483}, 'radius': 0.5}",,,,,,,,,,,,
2,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,18.0,0.0,NORMAL(0),45.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,42.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,切り裂き,,切り裂き,|||||||||||||||,6,,0,|||||||||||||||,L_WingU0|L_WingU1|L_HandW0|L_IndexW2|L_IndexW1|L_IndexW3|L_IndexW2|L_MiddleW1|L_MiddleW2|L_MiddleW2|L_WingU1|L_HandW0|Neck0|Spine0|Neck0|Spine0,L_WingU1|L_HandW0|L_IndexW0|L_MiddleW2|L_IndexW2|L_IndexW3|L_IndexW2|L_MiddleW2|L_MiddleW3|L_MiddleW3|Tail1|L_ThumbW0|Spine0|Tail0|Spine0|Tail0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 2.861023e-06, 'y': 2.384186e-07, 'z': 1.162291e-06}, 'end': {'x': 0.0, 'y': -8.940697e-07, 'z': 1.192093e-07}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': -0.35, 'y': 0.2, 'z': 1.2}, 'end': {'x': 0.2000017, 'y': 0.05000114, 'z': -0.1000003}, 'radius': 0.7}|{'start': {'x': 0.3500017, 'y': 0.0, 'z': 0.4000006}, 'end': {'x': 0.5, 'y': 0.2, 'z': 0.2}, 'radius': 1.0}|{'start': {'x': 0.5000023, 'y': 0.1000042, 'z': 0.5000029}, 'end': {'x': -0.7, 'y': -0.2, 'z': -4.0}, 'radius': 0.6}|{'start': {'x': 0.5000015, 'y': 0.1000049, 'z': 0.5000029}, 'end': {'x': -1.0, 'y': -0.2, 'z': -4.999999}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 9.536743e-07, 'y': 9.536743e-07, 'z': 9.536743e-07}, 'end': {'x': -1.096725e-05, 'y': -0.2, 'z': -1.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.05, 'y': 0.0, 'z': -0.1}, 'radius': 0.3}|{'start': {'x': -2.235174e-07, 'y': 0.1499979, 'z': -0.6}, 'end': {'x': 0.0, 'y': 0.1, 'z': -0.7}, 'radius': 1.25}|{'start': {'x': -2.384186e-07, 'y': -0.1, 'z': -5.960464e-08}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.05}|{'start': {'x': 0.0, 'y': 0.55, 'z': -0.6}, 'end': {'x': 0.05, 'y': 0.7, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 7.450581e-09, 'y': 0.8, 'z': 2.980232e-07}, 'end': {'x': 0.0, 'y': 0.35, 'z': -0.05}, 'radius': 1.3}",,,,,,,,,,,,
3,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),ROLLING_R(8),0.0,9.0,0.0,NORMAL(0),20.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,21.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,しっぽ回転_右へ,,尻尾回転_右へ回転,|,8,,0,|,Tail5|Tail4,Tail6|Tail5,Capsule|Capsule,"{'start': {'x': -0.1041641, 'y': 0.004167855, 'z': -0.1726413}, 'end': {'x': -9.536743e-07, 'y': 5.364418e-07, 'z': -2.0}, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.2}",,,,,,,,,,,,
15,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),ROLLING_L(9),0.0,9.0,0.0,NORMAL(0),20.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,21.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['CENTER(6)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,しっぽ回転_左へ,,尻尾回転_左へ回転,|,8,,0,|,Tail5|Tail4,Tail6|Tail5,Capsule|Capsule,"{'start': {'x': -0.1041641, 'y': 0.004167855, 'z': -0.1726413}, 'end': {'x': -9.536743e-07, 'y': 5.364418e-07, 'z': -2.0}, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.2}",,,,,,,,,,,,
4,SLIP(22),CAPTURE_NET(-956543104),DOWN(3),0.0,9.0,0.0,ALL_RANGE(1),15.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,21.0,ELEC(-1420948736),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,回り込み噛みつき,,回り込み噛みつき,|||,5,,0,|||,Head|Head|Head|Head,Head|Head|Head|Head,Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.65, 'y': 0.25, 'z': 0.7}, 'end': {'x': 1.5, 'y': 0.3, 'z': 1.0}, 'radius': 0.4}|{'start': {'x': 0.8, 'y': -0.4, 'z': 0.2}, 'end': {'x': 0.2, 'y': -1.2, 'z': 1.0}, 'radius': 0.8}|{'start': {'x': -0.65, 'y': 0.25, 'z': 0.6999998}, 'end': {'x': -1.5, 'y': 0.3000002, 'z': 1.0}, 'radius': 0.4}|{'start': {'x': -0.8000019, 'y': -0.4000006, 'z': 0.1999992}, 'end': {'x': -0.2, 'y': -1.2, 'z': 1.0}, 'radius': 0.8}",,,,,,,,,,,,
5,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,24.0,0.0,NORMAL(0),60.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,56.0,NONE(1220034176),False,0.0,True,0.0,25.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,ブレード振り下ろし,,ブレード振り下ろし,|||||||||||||,7,,0,|||||||||||||,L_WingU0|L_WingU1|L_HandW0|L_IndexW2|L_IndexW1|L_IndexW3|L_MiddleW1|L_MiddleW2|L_WingU1|L_HandW0|Neck0|Spine0|Neck0|Spine0,L_WingU1|L_HandW0|L_IndexW0|L_MiddleW2|L_IndexW2|L_IndexW3|L_MiddleW2|L_MiddleW3|Tail1|L_ThumbW0|Spine0|Tail0|Spine0|Tail0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 2.861023e-06, 'y': 2.384186e-07, 'z': 1.162291e-06}, 'end': {'x': 0.0, 'y': -8.940697e-07, 'z': 1.192093e-07}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': -0.35, 'y': 0.2, 'z': 1.2}, 'end': {'x': 0.2000017, 'y': 0.05000114, 'z': -0.1000003}, 'radius': 0.7}|{'start': {'x': 0.5, 'y': 0.1, 'z': 0.5}, 'end': {'x': 0.5, 'y': 0.2, 'z': 0.2}, 'radius': 0.55}|{'start': {'x': 0.5000023, 'y': 0.1000042, 'z': 0.5000029}, 'end': {'x': -0.5, 'y': 0.1000001, 'z': -3.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 2.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.05, 'y': 0.0, 'z': -0.1}, 'radius': 0.3}|{'start': {'x': -2.235174e-07, 'y': 0.1499979, 'z': -0.6}, 'end': {'x': 0.0, 'y': 0.1, 'z': -0.7}, 'radius': 1.25}|{'start': {'x': -2.384186e-07, 'y': -0.1, 'z': -5.960464e-08}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.05}|{'start': {'x': 0.0, 'y': 0.55, 'z': -0.6}, 'end': {'x': 0.05, 'y': 0.7, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 7.450581e-09, 'y': 0.8, 'z': 2.980232e-07}, 'end': {'x': 0.0, 'y': 0.35, 'z': -0.05}, 'radius': 1.3}",,,,,,,,,,,,
6,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,9.0,0.0,NORMAL(0),20.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,21.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,フック,,フック,|,0,,0,|,L_IndexW1|L_IndexW1,L_WingU1|L_IndexW2,ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.3891593, 'y': 0.1181837, 'z': -0.243162}, 'end': {'x': 0.4727484, 'y': 0.6023779, 'z': 0.2554939}, 'radius': 0.7}|{'start': {'x': 0.4064444, 'y': 0.1534023, 'z': -0.1902102}, 'end': {'x': 0.0, 'y': 0.0, 'z': -2.128062}, 'radius': 0.8}",,,,,,,,,,,,
7,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),ELEC(3),0,35.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,滑空ブレード右翼,,滑空ブレード,|||||||||||||||||||||||,2,,0,|||||||||||||||||||||||,R_WingU0|R_WingU0|R_WingU1|R_HandW0|R_IndexW2|R_IndexW1|R_IndexW2|R_MiddleW1|R_MiddleW2|R_RingW1|R_RingW2|R_PinkyW3|R_MiddleW2|R_PinkyW1|R_PinkyW1|R_AddW3_0|R_AddW3_0|R_AddW3_0|R_PinkyW0|R_RingW3|R_WingU1|R_MiddleW2|R_WingU1|R_HandW0,R_WingU1|R_WingU1|R_HandW0|R_IndexW0|R_MiddleW2|R_IndexW2|R_IndexW3|R_MiddleW2|R_MiddleW3|R_RingW2|R_RingW3|R_AddW3_1|R_RingW3|R_RingW3|R_AddW3_1|R_AddW3_1|Tail1|R_PinkyW3|R_PinkyW3|R_PinkyW3|Tail1|R_PinkyW1|Tail1|R_ThumbW0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -1.192093e-07, 'y': 5.960464e-08, 'z': -1.192093e-07}, 'end': {'x': 0.1500001, 'y': 0.3999998, 'z': -2.799999}, 'radius': 0.35}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': -2.861023e-06, 'y': 2.384186e-07, 'z': 1.192093e-06}, 'end': {'x': 0.0, 'y': -9.536743e-07, 'z': 1.192093e-07}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.3500001, 'y': 0.2, 'z': 1.199999}, 'end': {'x': -0.2000017, 'y': 0.05000114, 'z': -0.1000004}, 'radius': 0.5}|{'start': {'x': -0.3500018, 'y': 0.0, 'z': 0.4000006}, 'end': {'x': -0.4999998, 'y': 0.2, 'z': 0.1999989}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0999999, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0999999, 'z': -1.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -4.768372e-07, 'y': 2.384186e-07, 'z': 1.999999}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 2.384186e-06, 'y': -9.536743e-07, 'z': 4.768372e-07}, 'end': {'x': -9.536743e-07, 'y': -1.907349e-06, 'z': 1.299999}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0999999, 'z': 1.099999}, 'end': {'x': 2.384186e-07, 'y': 5.245209e-06, 'z': -0.3999999}, 'radius': 0.3}|{'start': {'x': 0.1499996, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0999999, 'y': -0.04999995, 'z': 1.45}, 'radius': 0.3}|{'start': {'x': -0.1000004, 'y': 0.00999999, 'z': -1.2}, 'end': {'x': 0.0999999, 'y': -0.04999995, 'z': 1.45}, 'radius': 0.3}|{'start': {'x': 0.0999999, 'y': 0.1500001, 'z': -1.6}, 'end': {'x': 0.05000019, 'y': -0.2, 'z': -0.3}, 'radius': 0.3}|{'start': {'x': -4.768372e-07, 'y': 0.0, 'z': -3.576279e-07}, 'end': {'x': 2.384186e-07, 'y': 0.0, 'z': -0.3999999}, 'radius': 0.3}|{'start': {'x': -4.768372e-07, 'y': 0.0008265972, 'z': -1.0}, 'end': {'x': -0.6, 'y': 0.1999998, 'z': -0.3000001}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': -1.1}, 'end': {'x': 0.4000001, 'y': 0.0, 'z': 0.7999997}, 'radius': 0.3}|{'start': {'x': -0.03080893, 'y': 0.2, 'z': 0.0}, 'end': {'x': -1.430511e-06, 'y': -2.622604e-06, 'z': 1.000002}, 'radius': 0.3}|{'start': {'x': -0.05000067, 'y': 0.04999995, 'z': 1.299999}, 'end': {'x': 3.814697e-06, 'y': 0.0, 'z': 0.9999995}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.4999998, 'z': -2.8}, 'end': {'x': -0.3, 'y': 0.4000001, 'z': -1.25}, 'radius': 0.3}|{'start': {'x': -9.536743e-07, 'y': -1.192093e-06, 'z': 0.0}, 'end': {'x': -4.768372e-07, 'y': 0.0999999, 'z': -1.3}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.04999924, 'y': 0.0, 'z': -0.1000004}, 'radius': 0.3}",,,,,,,,,,,,
