RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate,IsOnlyHitEmAttack
Em0162_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),CENTER(6),0.0,45.0,0.0,ALL_RANGE(1),25.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,後脚スタンプ,,後脚スタンプ,||||,1,,0,||||,L_LegL0|L_Foot0|L_Foot2|L_Foot2|L_LegU0,L_LegL0|L_Foot1|L_MiddleF1|L_ThumbF0|L_LegU1,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -2.3841858e-07, 'y': 2.3841858e-07, 'z': 1.1920929e-06}, 'end': {'x': 0.05000019, 'y': -1.0000002, 'z': -0.079999685}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.049999952, 'y': -1.1920929e-07, 'z': 0.20000029}, 'radius': 0.4}|{'start': {'x': 0.0021407604, 'y': 0.4, 'z': 0.0046052933}, 'end': {'x': 2.1457672e-06, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 1.1920929e-07, 'y': 0.0, 'z': 4.7683716e-07}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}",,,,,,,,,,,,,,,,,,,
1,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,50.0,0.0,ALL_RANGE(1),35.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,回り込み噛みつき,,回り込み噛みつき,||||||,2,,0,||||||,Head|Head|R_InnerJaw_00|L_InnerJaw_00|Neck5|Neck4|Neck0,Head|Head|R_Jaw_ReSu_off01|L_Jaw_ReSu_off01|Neck4|Neck3|Chest,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.1, 'z': -1.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.2}, 'radius': 0.75}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.5}, 'radius': 0.35}|{'start': {'x': 0.2, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.2, 'y': -0.2, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': -0.2, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.2, 'y': -0.2, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.3}, 'radius': 0.9}|{'start': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.5, 'z': -0.5}, 'radius': 1.6}",,,,,,,,,,,,,,,,,,,
2,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,50.0,0.0,ALL_RANGE(1),35.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,横ふり噛みつき,,横振り噛みつき,||||||,2,,0,||||||,Head|Head|R_InnerJaw_00|L_InnerJaw_00|Neck5|Neck4|Neck0,Head|Head|R_Jaw_ReSu_off01|L_Jaw_ReSu_off01|Neck4|Neck3|Chest,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.1, 'z': -1.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.2}, 'radius': 0.75}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.5}, 'radius': 0.35}|{'start': {'x': 0.2, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.2, 'y': -0.2, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': -0.2, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.2, 'y': -0.2, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.3}, 'radius': 0.9}|{'start': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.5, 'z': -0.5}, 'radius': 1.6}",,,,,,,,,,,,,,,,,,,
3,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,50.0,0.0,NORMAL(0),35.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,噛みつき,,前方噛みつき,||||||,2,,0,||||||,Head|Head|R_InnerJaw_00|L_InnerJaw_00|Neck5|Neck4|Neck0,Head|Head|R_Jaw_ReSu_off01|L_Jaw_ReSu_off01|Neck4|Neck3|Chest,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.1, 'z': -1.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.2}, 'radius': 0.75}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.5}, 'radius': 0.35}|{'start': {'x': 0.2, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.2, 'y': -0.2, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': -0.2, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.2, 'y': -0.2, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.3}, 'radius': 0.9}|{'start': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.5, 'z': -0.5}, 'radius': 1.6}",,,,,,,,,,,,,,,,,,,
4,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),DOWN(3),0.0,45.0,0.0,NORMAL(0),25.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,前腕叩きつけ1回目,,前腕叩きつけ,||||,4,,0,||||,L_ArmL0|L_Hand0|L_Hand0|L_Hand0|L_ArmL0,L_ArmL0|L_MiddleH2|L_PinkyH1|L_ThumbH0|L_ArmU0,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -0.102576256, 'y': 0.027809381, 'z': -0.17551756}, 'end': {'x': -0.10000086, 'y': -0.99999976, 'z': -0.099999905}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': -4.7683716e-07, 'z': 4.7683716e-07}, 'end': {'x': -2.3841858e-07, 'y': -4.7683716e-07, 'z': -0.010000348}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.099999905, 'z': 2.3841858e-07}, 'radius': 0.5}|{'start': {'x': 4.7683716e-07, 'y': -1.4305115e-06, 'z': 1.4305115e-06}, 'end': {'x': 0.14999998, 'y': -0.3499999, 'z': 0.19999981}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}",,,,,,,,,,,,,,,,,,,
5,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),BACK(1),0.0,55.0,0.0,ALL_RANGE(1),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,尻尾払い,,尻尾払い,|||||||,5,,0,|||||||,Tail0|Tail1|Tail2|Tail3|Tail4|Tail5|Tail6|Tail7,Tail1|Tail2|Tail3|Tail4|Tail5|Tail6|Tail7|Tail8,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.75}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 4.529953e-06, 'y': 1.66893e-06, 'z': 0.0}, 'end': {'x': 1.4305115e-06, 'y': 2.3841858e-07, 'z': -0.4}, 'radius': 0.3}",,,,,,,,,,,,,,,,,,,
6,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),BACK(1),0.0,70.0,0.0,ALL_RANGE(1),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],0.5,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,尻尾叩きつけ,,尻尾叩きつけ,|||||||,6,,0,|||||||,Tail0|Tail1|Tail2|Tail3|Tail4|Tail5|Tail6|Tail7,Tail1|Tail2|Tail3|Tail4|Tail5|Tail6|Tail7|Tail8,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.75}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.65}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 4.529953e-06, 'y': 1.66893e-06, 'z': 0.0}, 'end': {'x': 1.4305115e-06, 'y': 2.3841858e-07, 'z': -0.4}, 'radius': 0.3}",,,,,,,,,,,,,,,,,,,
7,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,80.0,0.0,NORMAL(0),45.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,35.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,突進,,突進,||||||||||||||||||||||||||,7,,0,||||||||||||||||||||||||||,Head|Head|Head|Head|R_InnerJaw_00|L_InnerJaw_00|Neck6|Neck5|Neck4|Neck3|Neck2|Neck0|Chest|Spine4|Spine2|Spine1|Hip|R_ArmU0|R_ArmL0|R_Hand0|R_Hand0|R_Hand0|L_ArmU0|L_ArmL0|L_Hand0|L_Hand0|L_Hand0,Head|L_head_shell_HJ_05|R_head_shell_HJ_05|Head|R_Jaw_ReSu_off01|L_Jaw_ReSu_off01|Neck5|Neck4|Neck3|Neck2|Neck1|Chest|Spine4|Spine3|Spine1|Hip|Tail0|R_ArmU1|R_ArmL0|R_MiddleH2|R_RingH2|R_ThumbH0|L_ArmU1|L_ArmL0|L_MiddleH2|L_RingH2|L_ThumbH0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.1, 'z': -0.3}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.1}, 'radius': 0.7}|{'start': {'x': 0.29999998, 'y': 0.0, 'z': -0.8000001}, 'end': {'x': 0.0, 'y': 0.29999992, 'z': -1.6000001}, 'radius': 0.5}|{'start': {'x': -0.29999998, 'y': 0.0, 'z': -0.7999997}, 'end': {'x': 0.0, 'y': 0.29999948, 'z': -1.6000004}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.5}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': -0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.30000022}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.10000002, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.15, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.9}|{'start': {'x': 0.0, 'y': -0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.0}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': -0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': 0.0}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': 0.0}, 'radius': 1.25}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.4}|{'start': {'x': 0.0, 'y': 0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.4, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.10000002, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.3}|{'start': {'x': 0.3, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.2, 'y': 0.0, 'z': 0.0}, 'radius': 0.9}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.1, 'y': -1.0, 'z': -0.1}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 3.5762787e-07}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.01}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.15, 'y': 0.1, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 5.9604645e-08, 'z': 4.7683716e-07}, 'end': {'x': 0.03, 'y': -0.2, 'z': -0.08}, 'radius': 0.3}|{'start': {'x': -0.3, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.2, 'y': 0.0, 'z': 0.0}, 'radius': 0.9}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.10000014, 'y': -0.99999976, 'z': -0.099999905}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': -2.3841858e-07, 'z': 3.5762787e-07}, 'end': {'x': 0.0, 'y': -0.05000019, 'z': -0.01000011}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.14999998, 'y': 0.099999905, 'z': 1.1920929e-07}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': -2.3841858e-07, 'z': 3.5762787e-07}, 'end': {'x': -0.029999971, 'y': -0.20000029, 'z': -0.07999992}, 'radius': 0.3}",,,,,,,,,,,,,,,,,,,
8,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,50.0,0.0,NORMAL(0),35.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),NONE(3),,0.0,0.0,2連かみつき,,2連かみつき,|||||||||||||||||||,12,,0,|||||||||||||||||||,Head|Head|R_InnerJaw_00|L_InnerJaw_00|Neck6|Neck5|Neck4|Neck3|Neck2|Chest|R_ArmU0|R_ArmL0|R_Hand0|R_Hand0|R_Hand0|L_ArmU0|L_ArmL0|L_Hand0|L_Hand0|L_Hand0,Head|Head|R_Jaw_ReSu_off01|L_Jaw_ReSu_off01|Neck5|Neck4|Neck3|Neck2|Neck1|Spine4|R_ArmU1|R_ArmL0|R_MiddleH2|R_RingH2|R_ThumbH0|L_ArmU1|L_ArmL0|L_MiddleH2|L_RingH2|L_ThumbH0,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': -0.1, 'z': -0.3}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.1}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.5}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': -0.1, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.1, 'z': 0.30000022}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': -1.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': 0.0, 'y': -0.1, 'z': 0.5}, 'end': {'x': 0.0, 'y': -0.1, 'z': 0.0}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.1, 'y': -1.0, 'z': -0.1}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 3.5762787e-07}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.01}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -0.15, 'y': 0.1, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 5.9604645e-08, 'z': 4.7683716e-07}, 'end': {'x': 0.03, 'y': -0.2, 'z': -0.08}, 'radius': 0.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.10000014, 'y': -0.99999976, 'z': -0.099999905}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': -2.3841858e-07, 'z': 3.5762787e-07}, 'end': {'x': 0.0, 'y': -0.05000019, 'z': -0.01000011}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.14999998, 'y': 0.099999905, 'z': 1.1920929e-07}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': -2.3841858e-07, 'z': 3.5762787e-07}, 'end': {'x': -0.029999971, 'y': -0.20000029, 'z': -0.07999992}, 'radius': 0.3}",,,,,,,,,,,,,,,,,,,
