RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,IsTarDirtyAttack,IsLastResortSuccessFinish,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,PressLevel,IsSensorCollision,IsArrowFlipCollision,Parts,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate
Em0164_50_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),CENTER(6),0.0,40.0,0.0,ALL_RANGE(1),20.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,前脚突き,FLeg_Thrust,前脚突き,||,0,,0,||,L_ArmU0|L_ArmL0|L_Hand0,L_ArmU1|L_Hand0|L_Hand1,Capsule|Capsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.0}, 'radius': 0.5}",,,,,,,,,,,,,,,,,,
1,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),CENTER(6),0.0,40.0,0.0,ALL_RANGE(1),20.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,前脚突き（インパクト）,FLeg_Thrust_Impact,前脚突き,,1,,0,左前脚_先端,L_Hand1,,ContinuousSphere,"{'x': -0.17, 'y': 0.0, 'z': 0.32, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
2,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),CENTER(6),0.0,30.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['ROLLING_R(8)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,向き変えひっかき,FLeg_Swing,向き変えひっかき,||,2,,0,||,L_ArmU0|L_ArmL0|L_Hand0,L_ArmU1|L_Hand0|L_Hand1,Capsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': -1.66893e-06, 'y': -1.1920929e-07, 'z': -8.940697e-08}, 'end': {'x': 0.61536, 'y': -0.21472454, 'z': 1.1310747}, 'radius': 0.5}",,,,,,,,,,,,,,,,,,
3,SMASH(21),CAPTURE_NET(-956543104),CENTER(6),0.0,55.0,0.0,NORMAL(0),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,翼腕掴み（左）,WLeg_Catch_L,翼腕掴み,||,3,,0,||,L_WingU0|L_WingL0|L_HandW1,L_WingU1|L_HandW0|,Capsule|Capsule|Sphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'x': 0.49, 'y': -0.010967255, 'z': 0.43, 'radius': 1.6}",,,,,,,,,,,,,,,,,,
4,SMASH(21),CAPTURE_NET(-956543104),CENTER(6),0.0,55.0,0.0,NORMAL(0),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,翼腕掴み（右）,WLeg_Catch_R,翼腕掴み,||,4,,0,||,R_WingU0|R_WingL0|R_HandW1,R_WingU1|R_HandW0|,Capsule|Capsule|Sphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'x': -0.48999977, 'y': -0.010966778, 'z': 0.43000054, 'radius': 1.6}",,,,,,,,,,,,,,,,,,
5,SMASH(21),CAPTURE_NET(-956543104),CENTER(6),0.0,55.0,0.0,NORMAL(0),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['ROLLING_R(8)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,翼腕薙ぎ払い（左）,WLeg_Swing_L,翼腕薙ぎ払い,,5,,0,左翼腕先端,L_HandW0,L_HandW1,ContinuousCapsule,"{'start': {'x': 1.7881393e-07, 'y': 0.0, 'z': 0.0}, 'end': {'x': 1.3, 'y': 0.0, 'z': 9.536743e-07}, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
6,SMASH(21),CAPTURE_NET(-956543104),CENTER(6),0.0,55.0,0.0,NORMAL(0),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['ROLLING_L(9)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,翼腕薙ぎ払い（右）,WLeg_Swing_R,翼腕薙ぎ払い（逆方向）,,6,,0,左翼腕先端_symmetry,R_HandW0,R_HandW1,ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': -1.3000002, 'y': 0.0, 'z': 9.536743e-07}, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
7,SMASH(21),CAPTURE_NET(-956543104),CENTER(6),0.0,70.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,翼腕殺し技,WLeg_Clash,翼腕殺し技,|||||||||||||||||||||||||||||||||,7,,0,|||||||||||||||||||||||||||||||||,L_WingU0|L_WingU1|L_WingL0|L_HandW0|L_ThumbW0|L_ThumbW1|L_ThumbW2|L_IndexW0|L_IndexW1|L_MiddleW0|L_MiddleW1|L_RingW0|L_RingW1|R_WingU0|R_WingU1|R_WingL0|R_HandW0|R_ThumbW0|R_ThumbW1|R_ThumbW2|R_IndexW0|R_IndexW1|R_MiddleW0|R_MiddleW1|R_RingW0|R_RingW1|L_IndexW0|R_IndexW0|Neck0|Head|L_ArmL0|R_ArmL0|L_Hand0|R_Hand0,L_WingU1|L_WingL0|L_HandW0|L_HandW1|L_ThumbW1|L_ThumbW2|L_ThumbW2|L_IndexW1|L_IndexW2|L_MiddleW1|L_MiddleW2|L_RingW1|L_RingW2|R_WingU1|R_WingL0|R_HandW0|R_HandW1|R_ThumbW1|R_ThumbW2|R_ThumbW2|R_IndexW1|R_IndexW2|R_MiddleW1|R_MiddleW2|R_RingW1|R_RingW2|L_IndexW0|R_IndexW0|Neck0|Head|L_Hand0|R_Hand0|L_Hand1|R_Hand1,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 1.5, 'y': 4.7683716e-07, 'z': -5.9604645e-08}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': -5.9604645e-08}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': -5.9604645e-08}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 1.7881393e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': -0.5, 'y': 4.7683716e-07, 'z': -9.536743e-07}, 'radius': 0.8}|{'start': {'x': 1.7881393e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': 1.7881393e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': 0.03, 'y': 0.04, 'z': 0.51}, 'end': {'x': 0.2, 'y': -0.19, 'z': 1.08}, 'radius': 0.4}|{'start': {'x': 1.7881393e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': 2.9802322e-07, 'y': 5.9604645e-07, 'z': -2.3841858e-07}, 'end': {'x': 0.43670788, 'y': 3.5762787e-07, 'z': 5.9604645e-07}, 'radius': 0.4}|{'start': {'x': 1.7881393e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': 2.2649765e-06, 'y': 2.8312206e-07, 'z': 2.3841858e-07}, 'end': {'x': 0.45787525, 'y': -0.049123704, 'z': 2.3841858e-07}, 'radius': 0.4}|{'start': {'x': 1.7881393e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': -2.3841858e-07, 'y': 4.172325e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.16456866, 'y': -0.086363405, 'z': 0.0015106201}, 'radius': 0.4}|{'start': {'x': -1.4999998, 'y': 4.7683716e-07, 'z': -4.7683716e-07}, 'end': {'x': -4.7683716e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.5, 'y': 4.7683716e-07, 'z': -7.1525574e-07}, 'radius': 0.8}|{'start': {'x': -4.7683716e-07, 'y': 4.7683716e-07, 'z': 4.7683716e-07}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': -2.3841858e-07}, 'radius': 0.4}|{'start': {'x': -4.7683716e-07, 'y': 4.7683716e-07, 'z': 2.3841858e-07}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': 4.7683716e-07}, 'radius': 0.4}|{'start': {'x': -0.03000021, 'y': 0.04000044, 'z': 0.5100002}, 'end': {'x': -0.19999981, 'y': -0.18999958, 'z': 1.0799999}, 'radius': 0.4}|{'start': {'x': -4.7683716e-07, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 9.536743e-07, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': -4.7683716e-07, 'y': 9.536743e-07, 'z': -4.7683716e-07}, 'end': {'x': -0.43670797, 'y': 0.0, 'z': 4.7683716e-07}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 2.3841858e-07}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': -1.9073486e-06, 'y': 0.0, 'z': 2.3841858e-07}, 'end': {'x': -0.4578755, 'y': -0.049124718, 'z': 7.1525574e-07}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 9.536743e-07, 'z': 2.3841858e-07}, 'end': {'x': 0.0, 'y': 9.536743e-07, 'z': 2.3841858e-07}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 4.7683716e-07}, 'end': {'x': 0.1645689, 'y': -0.08636379, 'z': 0.0015106201}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'radius': 2.0}|{'start': {'x': 4.7683716e-07, 'y': 0.0, 'z': 0.0}, 'end': {'x': 4.7683716e-07, 'y': 0.0, 'z': 0.0}, 'radius': 2.0}|{'start': {'x': 0.02658993, 'y': -0.38717318, 'z': 0.04175347}, 'end': {'x': 0.09513742, 'y': -0.5131242, 'z': -1.169812}, 'radius': 2.5}|{'start': {'x': 0.0, 'y': -1.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -1.0, 'z': 0.0}, 'radius': 2.4999995}|{'start': {'x': 0.1575774, 'y': -0.022092372, 'z': -0.028725028}, 'end': {'x': 1.1920929e-07, 'y': 0.0, 'z': -1.1622906e-06}, 'radius': 0.8}|{'start': {'x': -0.15757728, 'y': -0.022092462, 'z': -0.02872467}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': -1.1920929e-06}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 1.0}, 'radius': 0.8}",,,,,,,,,,,,,,,,,,
8,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),10.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,頭突き,Headbutt,頭突き,|,9,,0,|,Neck2|Head,Head|Head,Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 2.3841858e-07, 'z': -2.3841858e-07}, 'end': {'x': 0.0, 'y': -0.23, 'z': 0.87}, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
