RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,PressLevel,IsSensorCollision,IsArrowFlipCollision,Parts,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em0165_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),40.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),True,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,パンチ（中ぶっとび）,Punch,パンチ,|,2,,0,|,Arm|Arm,|Arm,Sphere|Capsule,"{'x': 1.55, 'y': -0.35, 'z': 3.7999997, 'radius': 1.0}|{'start': {'x': 1.4901161e-08, 'y': -0.1, 'z': 2.3999999}, 'end': {'x': 1.1000001, 'y': -0.2, 'z': 3.5999987}, 'radius': 0.4}",,,,,,,,,,,,
1,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),15.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),True,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,パンチ（転倒）,Punch_S,パンチ（転倒）,|,2,,0,|,Arm|Arm,|Arm,Sphere|Capsule,"{'x': 1.55, 'y': -0.35, 'z': 3.7999997, 'radius': 1.0}|{'start': {'x': 1.4901161e-08, 'y': -0.1, 'z': 2.3999999}, 'end': {'x': 1.1000001, 'y': -0.2, 'z': 3.5999987}, 'radius': 0.4}",,,,,,,,,,,,
2,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,35.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),True,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,パンチ（ぶっ飛び）,Punch_L,パンチ（ぶっ飛び）,|,0,,0,|,Arm|Arm,|Arm,Sphere|Capsule,"{'x': 1.55, 'y': -0.35, 'z': 3.7999997, 'radius': 1.0}|{'start': {'x': 1.4901161e-08, 'y': -0.1, 'z': 2.3999999}, 'end': {'x': 1.1000001, 'y': -0.2, 'z': 3.5999987}, 'radius': 0.4}",,,,,,,,,,,,
3,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,40.0,0.0,SKILL_GUARD(3),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),True,False,False,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,パンチ（ガード不可）,Punch_EX,パンチ（ガード不可）,|,1,,0,|,Arm|Arm,|Arm,Sphere|Capsule,"{'x': 1.55, 'y': -0.35, 'z': 3.7999997, 'radius': 1.0}|{'start': {'x': 1.4901161e-08, 'y': -0.1, 'z': 2.3999999}, 'end': {'x': 1.1000001, 'y': -0.2, 'z': 3.5999987}, 'radius': 0.4}",,,,,,,,,,,,
4,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,40.0,0.0,SKILL_GUARD(3),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),True,False,False,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,パンチ衝撃Ｌ,Punch_Impact_L,パンチ（ガード不可）,,3,,0,衝撃,Arm,,Sphere,"{'x': 1.55, 'y': -0.25, 'z': 3.6999998, 'radius': 1.8}",,,,,,,,,,,,
5,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,35.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),True,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,パンチ衝撃M,Punch_Impact,パンチ（ぶっ飛び）,,4,,0,衝撃,Arm,,Sphere,"{'x': 1.55, 'y': -0.25, 'z': 3.6999998, 'radius': 1.5}",,,,,,,,,,,,
6,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),15.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),True,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,パンチ衝撃S,Punch_Impact_S,パンチ（転倒）,,5,,0,衝撃,Arm,,Sphere,"{'x': 1.55, 'y': -0.35, 'z': 3.8, 'radius': 1.2}",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em0165_00_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
