RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,IsTarDirtyAttack,IsLastResortSuccessFinish,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate,IsOnlyHitEmAttack
Em0166_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SLIP(22),NONE(1996289920),CENTER(6),0.0,30.0,0.0,ALL_RANGE(1),30.0,SS(-665808704),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,True,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,JabTrampling,,,0,,0,,L_e_f_asi_d,L_Hand1,Sphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 1.3}",,,,,,,,,,,,,,,,,,,
1,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,65.0,0.0,ALL_RANGE(1),60.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,SuperTrampling_F,,,1,,0,,L_e_f_asi_d,L_Hand1,ContinuousSphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
2,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,65.0,0.0,ALL_RANGE(1),60.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,SuperTrampling_B,,,3,,0,,L_e_b_asi_d,L_Hand1,ContinuousSphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
3,SMASH(21),NONE(1996289920),FRONT(0),0.0,85.0,0.0,NORMAL(0),90.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,70.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,True,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,BoostRush,,|||||||||||,6,,0,|||||||||||,L_c_f_asi_a|L_c_f_asi_b|L_j_f_asi_c|L_e_f_asi_d|R_c_f_asi_a|R_c_f_asi_b|R_j_f_asi_c|R_e_f_asi_d|n_hara|n_hara|n_hara|n_hara,L_c_f_asi_b|L_j_f_asi_c|L_c_f_asi_d|L_Hand1|R_c_f_asi_b|R_j_f_asi_c|R_c_f_asi_d|R_Hand1|n_hara|n_hara|n_hara|n_hara,ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousSphere|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousSphere|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.07741678, 'y': -0.14483619, 'z': -0.026007652}, 'radius': 0.6}|{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 1.3}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -1.4305115e-06, 'y': 0.0, 'z': -2.3841858e-07}, 'end': {'x': 0.07741678, 'y': -0.14483595, 'z': -0.026007175}, 'radius': 0.6}|{'x': 0.099288225, 'y': -0.27280092, 'z': -0.038535118, 'radius': 1.3}|{'start': {'x': -0.00011682237, 'y': 1.0872496, 'z': 3.0215719}, 'end': {'x': -0.0014571098, 'y': 1.0366921, 'z': 1.9763044}, 'radius': 2.8}|{'start': {'x': -2.9720244, 'y': -0.093934685, 'z': 5.075046}, 'end': {'x': -2.9727964, 'y': -0.1230616, 'z': 4.4728246}, 'radius': 1.0}|{'start': {'x': 2.9720244, 'y': -0.093934774, 'z': 5.075046}, 'end': {'x': 2.9727964, 'y': -0.12306166, 'z': 4.4728246}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.26730752, 'z': 2.3503213}, 'end': {'x': -9.546056e-09, 'y': 0.20043254, 'z': 1.9683964}, 'radius': 2.8}",,,,,,,,,,,,,,,,,,,
4,SMASH_SMALL(-1838723072),NONE(1996289920),CENTER(6),0.0,50.0,0.0,ALL_RANGE(1),60.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['FRONT(0)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,BodyPressFoot,,|||||,8,,0,|||||,L_c_f_asi_b|L_j_f_asi_c|R_c_f_asi_b|R_j_f_asi_c|L_e_f_asi_d|R_e_f_asi_d,L_j_f_asi_c|L_c_f_asi_d|R_j_f_asi_c|R_c_f_asi_d|L_Hand1|R_Hand1,Capsule|Capsule|Capsule|Capsule|Sphere|Sphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.07741678, 'y': -0.14483619, 'z': -0.026007652}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -1.4305115e-06, 'y': 0.0, 'z': -2.3841858e-07}, 'end': {'x': 0.07741678, 'y': -0.14483595, 'z': -0.026007175}, 'radius': 0.6}|{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 1.3}|{'x': 0.099288225, 'y': -0.27280092, 'z': -0.038535118, 'radius': 1.3}",,,,,,,,,,,,,,,,,,,
5,SMASH_SMALL(-1838723072),NONE(1996289920),CENTER(6),0.0,50.0,0.0,ALL_RANGE(1),60.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,['FRONT(0)'],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,BodyPressBody,,||||||||||,9,,0,||||||||||,n_hara|L_c_f_asi_a|R_c_f_asi_a|L_c_b_asi_a|R_c_b_asi_a|L_c_b_asi_b|L_j_b_asi_c|R_c_b_asi_b|R_j_b_asi_c|L_e_b_asi_d|R_e_b_asi_d,n_hara|L_c_f_asi_b|R_c_f_asi_b|L_c_b_asi_b|R_c_b_asi_b|L_j_b_asi_c|L_c_b_asi_d|R_j_b_asi_c|R_c_b_asi_d|L_Hand1|R_Hand1,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Sphere|Sphere,"{'start': {'x': -0.000105679035, 'y': 0.9854809, 'z': 2.3036356}, 'end': {'x': -2.7447939e-05, 'y': 0.2559862, 'z': -2.842622}, 'radius': 2.8}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 4.7683716e-07, 'y': 9.536743e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.05859047, 'y': -0.16859269, 'z': 0.040641785}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -4.7683716e-07, 'y': 9.536743e-07, 'z': 9.536743e-07}, 'end': {'x': 0.05859065, 'y': -0.16859245, 'z': 0.040641785}, 'radius': 0.6}|{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 1.3}|{'x': 0.09928846, 'y': -0.27280092, 'z': -0.038535357, 'radius': 1.3}",,,,,,,,,,,,,,,,,,,
6,SMASH_MIDDLE(20),NONE(1996289920),FRONT(0),0.0,50.0,0.0,NORMAL(0),40.0,SS(-665808704),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RideRampage,,||||||||||||,10,,0,||||||||||||,L_c_f_asi_a|L_c_f_asi_b|L_j_f_asi_c|L_c_b_asi_a|L_c_b_asi_b|L_j_b_asi_c|R_c_f_asi_a|R_c_f_asi_b|R_j_f_asi_c|R_c_b_asi_a|R_c_b_asi_b|R_j_b_asi_c|n_hara,L_c_f_asi_b|L_j_f_asi_c|L_c_f_asi_d|L_c_b_asi_b|L_j_b_asi_c|L_c_b_asi_d|R_c_f_asi_b|R_j_f_asi_c|R_c_f_asi_d|R_c_b_asi_b|R_j_b_asi_c|R_c_b_asi_d|n_hara,ContinuousCapsule|Capsule|Capsule|ContinuousCapsule|Capsule|Capsule|ContinuousCapsule|Capsule|Capsule|ContinuousCapsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 1.4305115e-06, 'y': -2.3841858e-07, 'z': 0.0}, 'end': {'x': -0.07741678, 'y': -0.14483619, 'z': -0.026007652}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 4.7683716e-07, 'y': 9.536743e-07, 'z': 4.7683716e-07}, 'end': {'x': -0.05859047, 'y': -0.16859269, 'z': 0.040641785}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': -1.4305115e-06, 'y': 0.0, 'z': -2.3841858e-07}, 'end': {'x': 0.0774169, 'y': -0.14483595, 'z': -0.026007175}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': -4.7683716e-07, 'y': 9.536743e-07, 'z': 9.536743e-07}, 'end': {'x': 0.05859065, 'y': -0.16859245, 'z': 0.040641785}, 'radius': 0.6}|{'start': {'x': -0.00010919571, 'y': 1.0216823, 'z': 2.5590239}, 'end': {'x': -3.2424927e-05, 'y': 0.3052745, 'z': -2.4949193}, 'radius': 2.8}",,,,,,,,,,,,,,,,,,,
7,SMASH(21),NONE(1996289920),CENTER(6),0.0,13.0,0.0,NORMAL(0),90.0,M(-1996372096),NONE(-94023312),FIRE(1),0,52.0,FIRE(-241644512),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,Burst_ResetJetStart,,,11,,0,,root,root,Capsule,"{'start': {'x': 0.0, 'y': 1.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': -2.0, 'z': 0.0}, 'radius': 3.5}",,,,,,,,,,,,,,,,,,,
8,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,90.0,0.0,ALL_RANGE(1),100.0,SS(-665808704),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,90.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_FL,,,1,,0,,L_e_f_asi_d,L_Hand1,ContinuousSphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
