RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
Em1161_00_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),BACK(1),0.0,10.0,0.0,NORMAL(0),10.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,後ろ蹴り,back_kick,後ろ蹴り,,0,,0,後ろ脚,Hip,L_Foot0,Capsule,"{'start': {'x': 0.0, 'y': -0.3, 'z': -0.2}, 'end': {'x': -0.15, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}",,,,,,,,,,,,
1,SLIP(22),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),10.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,60.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,100.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,突き上げ,upper,突き上げ,,1,,0,頭,Head,Head,Capsule,"{'start': {'x': 0.0, 'y': 0.1, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.10000002, 'z': 0.70000005}, 'radius': 0.45}",,,,,,,,,,,,
2,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,10.0,0.0,NORMAL(0),10.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,40.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,60.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,頭突き,headbutt,頭突き,,1,,0,頭,Head,Head,Capsule,"{'start': {'x': 0.0, 'y': 0.1, 'z': -0.1}, 'end': {'x': 0.0, 'y': 0.10000002, 'z': 0.70000005}, 'radius': 0.45}",,,,,,,,,,,,
3,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),10.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,PARALYSE(-1247186944),False,60.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,68258514-210c-4393-855f-d87e85538638,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,100.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,突進,rush,突進,,2,,0,突進,Head,Neck0,Capsule,"{'start': {'x': 0.0, 'y': 0.2, 'z': 0.5}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.1}, 'radius': 0.45}",,,,,,,,,,,,
4,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,20.0,0.0,NORMAL(0),10.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,PARALYSE(-1247186944),False,80.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,55949b68-bc85-46cd-a367-68b143ab64e3,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,100.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,NONE(3),,0.0,0.0,突進（EM）,rush_EM,突進（EM用）,,2,,0,突進,Head,Neck0,Capsule,"{'start': {'x': 0.0, 'y': 0.2, 'z': 0.5}, 'end': {'x': 0.0, 'y': 0.3, 'z': 0.1}, 'radius': 0.45}",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em1161_00_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,音反応,SoundReaction,音反応,,0,,0,,Chest,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.2}",False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '00000000-0000-0000-0000-000000000000'}}",,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭_押し,Push_Head,Zako,,1,,0,頭,Head,Neck0,Capsule,"{'start': {'x': 1.4901161e-08, 'y': 0.20000002, 'z': 0.4}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.4}",,,,ENEMY_ZAKO(7),,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胴_押し,Push_Body,Zako,,2,,0,胴,Neck0,Hip,Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.1}, 'end': {'x': 0.0, 'y': -0.1, 'z': -0.1}, 'radius': 0.5}",,,,ENEMY_ZAKO(7),,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,敵同士_押し,Push_EM,Zako,,3,,0,全体,Neck0,Hip,Capsule,"{'start': {'x': 0.0, 'y': -0.2, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.2, 'z': -0.1}, 'radius': 0.6}",,,,ENEMY_ZAKO(7),,,,,,,,
