,00,01,02,03,04,05,06,07,08,09,10,11,12,13
TurnParam,"{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 45.0, 'ForceMaxTurn': True, 'TurnTime': 0.4, 'TurnMaxDeg': 30.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 11.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 45.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 30.0}}","{'PrimaryTurnTime': 0.4, 'ComboTurnParam': {'LeverDeg': 10.0, 'ForceMaxTurn': False, 'TurnTime': 0.4, 'TurnMaxDeg': 10.0}}"
FallJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.0, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 0.0, 'z': 1.6, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
JumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
DodgeFrontJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
DodgeSideJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
DodgeBackJumpParam,"{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}","{'JumpVelocity': {'x': 0.0, 'y': 4.0, 'z': 2.2, 'pad': 0.0}, 'Gravity': 9.8, 'GravityRate': 1.0}"
TurnSpeed,400.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,400.0,450.0
StepUp1_RayDist,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.5
StepUp2_RayDist,1.2,1.5,1.2,1.5,1.2,1.2,1.2,1.2,1.2,1.4,1.2,1.2,1.2,1.5
StepUp3_RayDist,1.2,1.5,1.2,1.5,1.2,1.2,1.2,1.2,1.2,1.4,1.2,1.2,1.2,1.5
