RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,IsDisableAnimalAttack,IsExFieldWpAttackFinal,ExEmote03AttackType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,CollabDamageUIType,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,PressLevel,Type,CaptureDamage,ShellReflectionFlag,SlingerCatchDamageType,SpecialType,IsHitMortarShell
PlAttack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,KNIFE(1),NULL,7.0,10.0,False,False,False,1.0,1.0,1.0,1.0,False,False,True,False,False,False,1,False,1,,False,False,False,False,False,10,False,False,1.0,1.0,False,False,,False,False,1.0,False,False,False,NONE(0),KNIFE(-1493116032),,0.0,0.0,-1,0.0,0.0,0.0,NONE(55),False,00000000-0000-0000-0000-000000000000,False,NONE(7350),False,INVALID(-361180672),False,乗り傷付け,,乗り傷付け,,0,,0,,L_Hand,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': -0.3, 'radius': 0.5}",,,,,,,
6,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,1.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),NONE(0),1.0,0.0,0.0,KNIFE(1),NULL,4.0,7.0,False,False,False,1.0,1.0,1.0,1.0,False,False,True,False,False,False,1,False,1,,False,False,False,False,False,10,False,False,1.0,1.0,False,False,,False,False,1.0,False,False,False,NONE(0),KNIFE(-1493116032),,0.0,0.0,-1,0.0,0.0,0.0,NONE(55),False,00000000-0000-0000-0000-000000000000,False,NONE(7350),False,INVALID(-361180672),False,乗り傷付け（弱）,,乗り傷付け（弱）,,0,,0,,L_Hand,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': -0.3, 'radius': 0.5}",,,,,,,
7,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,10.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),0.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,False,False,1.0,1.0,False,False,,False,False,1.0,False,False,False,NONE(0),KNIFE(-1493116032),,0.0,0.0,-1,0.0,0.0,0.0,NONE(55),False,00000000-0000-0000-0000-000000000000,False,NONE(7350),False,INVALID(-361180672),False,ボス拘束ナイフ反撃,,ボス拘束ナイフ反撃,,1,,0,,L_Hand,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': -0.3, 'radius': 0.5}",,,,,,,
8,NORMAL(0),NONE(1996289920),UP(2),0.0,4.4217,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,False,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,abfd0df7-f3ab-40e2-b95d-58ec9392106d,False,NONE(7350),False,SLASH_01(330801824),False,豪昇竜拳1,,豪昇竜拳1,,2,,0,,R_Hand,,ContinuousSphere,"{'x': -0.1, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
9,NORMAL(0),NONE(1996289920),UP(2),0.0,22.1085,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,EX_03(25974),False,S_SLASH_01(31722),False,OD豪昇竜拳1,,OD豪昇竜拳1,,2,,0,,R_Hand,,ContinuousSphere,"{'x': -0.1, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
24,NORMAL(0),NONE(1996289920),DOWN(3),0.0,36.8475,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,EX_03(25974),False,L_SLASH_03(20508),False,OD豪昇竜拳2,,OD豪昇竜拳2,,22,,0,,R_Hand,,ContinuousSphere,"{'x': -0.1, 'y': 0.0, 'z': 0.0, 'radius': 1.1}",,,,,,,
10,NORMAL(0),NONE(1996289920),FRONT(0),0.0,13.6,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,BASH_00(17477),False,立ち弱パンチ1,,立ち弱パンチ1,,3,,0,,L_Hand,,ContinuousSphere,"{'x': 0.1, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
11,NORMAL(0),NONE(1996289920),FRONT(0),0.0,10.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,7.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,BASH_01(20102),False,立ち中パンチ1,,立ち中パンチ1,,10,,0,,R_Hand,,ContinuousSphere,"{'x': -0.21, 'y': 0.0, 'z': 0.135, 'radius': 0.56}",,,,,,,
12,NORMAL(0),NONE(1996289920),FRONT(0),0.0,13.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,8.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,THRUST_02(17089),False,立ち中パンチ2,,立ち中パンチ2,,11,,0,,L_Hand,,ContinuousSphere,"{'x': 0.1, 'y': -0.12, 'z': 0.2, 'radius': 0.55}",,,,,,,
