RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams
Wp01_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,24.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.3,1.0,True,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,KATANA_01(1373),False,左斬り上げ,,左斬り上げ,,4,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': 3.501013e-08, 'y': 0.0, 'z': 0.0}, 'end': {'x': -5.285572e-08, 'y': 0.0, 'z': 1.6}, 'radius': 0.6}"
1,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,18.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.3,1.0,True,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,S_SLASH_00(10757),False,横切り,,横切り,,4,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': 3.501013e-08, 'y': 0.0, 'z': 0.0}, 'end': {'x': -5.285572e-08, 'y': 0.0, 'z': 1.6}, 'radius': 0.6}"
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,19.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.3,1.0,True,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,False,S_SLASH_00(10757),False,振り下ろし,,振り下ろし,,4,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': 3.501013e-08, 'y': 0.0, 'z': 0.0}, 'end': {'x': -5.285572e-08, 'y': 0.0, 'z': 1.6}, 'radius': 0.6}"
16,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,31.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.0,1.0,False,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NONE(55),False,00000000-0000-0000-0000-000000000000,False,True,INVALID(-361180672),False,盾コンフィニッシュ,,盾コンフィニッシュ,,4,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': 3.501013e-08, 'y': 0.0, 'z': 0.0}, 'end': {'x': -5.285572e-08, 'y': 0.0, 'z': 1.6}, 'radius': 0.6}"
10,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,40.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.0,1.0,True,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,f8ce0ae6-c3e1-484d-acea-d7e507d123a4,True,True,S_SLASH_00(10757),False,溜めジャンプ斬り,,溜めジャンプ斬り,,4,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': 3.501013e-08, 'y': 0.0, 'z': 0.0}, 'end': {'x': -5.285572e-08, 'y': 0.0, 'z': 1.6}, 'radius': 0.6}"
11,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,20.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,55.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.0,1.0,True,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,True,KATANA_01(1373),False,ジャンプ斬り,,ジャンプ斬り,,4,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': 3.501013e-08, 'y': 0.0, 'z': 0.0}, 'end': {'x': -5.285572e-08, 'y': 0.0, 'z': 1.6}, 'radius': 0.6}"
40,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,6.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,True,True,False,10.0,True,True,0.3,0.3,False,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,True,INVALID(-361180672),False,狂化の装衣追加ヒット,,狂化の装衣追加ヒット,,4,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': 3.501013e-08, 'y': 0.0, 'z': 0.0}, 'end': {'x': -5.285572e-08, 'y': 0.0, 'z': 1.6}, 'radius': 0.6}"
50,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,30.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.0,1.0,True,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,f8ce0ae6-c3e1-484d-acea-d7e507d123a4,False,True,STOMP_00(511848320),False,ジャストラッシュ飛び込み,,ジャストラッシュ飛び込み,,0,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': -2.316225e-08, 'y': 0.0, 'z': 0.3295327}, 'end': {'x': 3.0171574e-08, 'y': 0.0, 'z': 2.5}, 'radius': 0.5}"
52,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0.0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1.0,False,1.0,,False,False,False,False,False,10.0,True,True,1.0,1.0,False,True,,False,False,1.0,False,SLASH(9),,0.0,0.0,-1.0,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,True,S_SLASH_00(10757),False,ジャストラッシュ剣1_失敗,,ジャストラッシュ剣1_失敗,,0,,0,,Root,Root,ContinuousCapsule,"{'start': {'x': -2.316225e-08, 'y': 0.0, 'z': 0.3295327}, 'end': {'x': 3.0171574e-08, 'y': 0.0, 'z': 2.5}, 'radius': 0.5}"
