RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,IsDisableAnimalAttack,IsExFieldWpAttackFinal,ExEmote03AttackType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,CollabDamageUIType,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,CaptureDamage,ShellReflectionFlag,SlingerCatchDamageType,SpecialType,Type
Wp05_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,33.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,15.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,e41f1952-fa8c-43ad-8971-f503a3708832,False,NONE(7350),False,STOMP_02(-1421223296),False,左ぶん回し,,左ぶん回し,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
1,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,32.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,20.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,e41f1952-fa8c-43ad-8971-f503a3708832,False,NONE(7350),False,TAIKEN_01(20862),False,前方攻撃,,前方攻撃,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
2,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,33.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,15.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,e41f1952-fa8c-43ad-8971-f503a3708832,False,NONE(7350),False,STOMP_02(-1421223296),False,右ぶん回し,,右ぶん回し,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
3,NORMAL(0),CAPTURE_NET(-956543104),BACK(1),0.0,46.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,25.0,True,0.0,20.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,e41f1952-fa8c-43ad-8971-f503a3708832,False,NONE(7350),False,STOMP_02(-1421223296),False,後方攻撃,,後方攻撃,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
4,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,14.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,10.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,True,NONE(7350),True,THRUST_00(32626),False,叩きつけ・1発目,,叩きつけ・1発目,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
5,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,42.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,15.0,True,0.0,22.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,4faf23d3-7f22-42ed-8b07-6ef7cfc74e43,True,NONE(7350),True,STOMP_02(-1421223296),False,叩きつけ・２発目,,叩きつけ・2発目,|,3,,0,|,|,|,ContinuousCapsule|Sphere,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.63}|{'x': 0.0, 'y': 0.0, 'z': 2.1372237, 'radius': 1.7}",,,,,
6,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,15.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,6.0,True,0.0,6.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,NONE(7350),False,FUE_00(32066),False,連音攻撃・１発目,,連音攻撃・1発目,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
7,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,25.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,STAMINA(-392388800),False,8.0,True,0.0,8.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,True,True,,False,False,1.0,False,False,False,NONE(0),BLOW(8),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,e41f1952-fa8c-43ad-8971-f503a3708832,False,NONE(7350),False,TAIKEN_03(4721),False,連音攻撃・２発目,,連音攻撃・2発目,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
8,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,10.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),SLASH(1),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,True,1.0,1.0,False,True,,False,False,1.0,False,False,False,NONE(0),STAB(7),,0.0,0.0,-1,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,NONE(7350),False,THRUST_01(26142),False,柄殴り,,柄殴り,,0,,0,,,,ContinuousCapsule,"{'start': {'x': 0.05, 'y': 0.0, 'z': 0.05}, 'end': {'x': 0.050000202, 'y': 0.0, 'z': 2.3}, 'radius': 0.75}",,,,,
